代码,简称,基金全称,基金公司,"设立日期
",2016年年末（亿）,2016年三季度末（亿）,鹏华一级分类,鹏华二级分类,鹏华三级分类,鹏华四级分类,跟踪标的,备注
510900,恒生中企ETF,易方达恒生中国企业交易型开放式指数证券投资基金,易方达基金,20120809,95.02 ,90.35,QDII,,,,,
161831,银华H股(母),银华恒生中国企业指数分级证券投资基金,银华基金,20140409,76.01 ,69.99,QDII,,,,恒生国企,分级基金
070012,嘉实海外中国股票混合,嘉实海外中国股票混合型证券投资基金,嘉实基金,20071012,56.43 ,57.89,QDII,,,,,
000041,华夏全球,华夏全球精选股票型证券投资基金,华夏基金,20071009,49.55 ,50.58,QDII,,,,,
202801,南方全球,南方全球精选配置证券投资基金,南方基金,20070919,47.74 ,48.70,QDII,,,,,
162411,华宝油气,华宝兴业标普石油天然气上游股票指数证券投资基金(LOF),华宝兴业基金,20110929,34.87 ,31.04,QDII,,,,,
110031,易方达恒生国企业联接,易方达恒生中国企业交易型开放式指数证券投资基金联接基金,易方达基金,20120821,41.11 ,26.91,QDII,,,,,
000988,嘉实全球互联网股票人民币,嘉实全球互联网股票型证券投资基金,嘉实基金,20150415,23.95 ,24.44,QDII,,,,,
100061,富国中国中小盘混合QDII,富国中国中小盘(香港上市)混合型证券投资基金,富国基金,20120904,15.26 ,16.35,QDII,,,,,
000290,鹏华全球高收益债QDII人民币,鹏华全球高收益债债券型证券投资基金,鹏华基金,20131022,16.40 ,15.81,QDII,,,,,
513660,华夏沪港通恒生ETF,华夏沪港通恒生交易型开放式指数证券投资基金,华夏基金,20141223,19.96 ,14.72,QDII,,,,,
160717,嘉实恒生H股,嘉实恒生中国企业指数证券投资基金(QDII-LOF),嘉实基金,20100930,20.25 ,14.41,QDII,,,,,
000948,华夏沪港通恒生ETF联接,华夏沪港通恒生交易型开放式指数证券投资基金联接基金,华夏基金,20150113,19.79 ,14.08,QDII,,,,,
040018,华安香港精选,华安香港精选股票型证券投资基金,华安基金,20100919,13.53 ,13.95,QDII,,,,,
159920,华夏恒生ETF,恒生交易型开放式指数证券投资基金,华夏基金,20120809,16.44 ,10.96,QDII,,,,,
